target,setsize,resp,rt,sub,correct
Present,12,1,1.112360522,1,1
Absent,16,2,2.700674168,1,1
Absent,16,2,2.112440183,1,1
Present,16,1,0.677117469,1,1
Present,12,1,1.688913552,1,1
Absent,8,2,2.171288588,1,1
Absent,12,2,2.230093881,1,1
Present,8,1,1.171259436,1,1
Present,8,1,0.794677554,1,1
Absent,12,2,3.441852249,1,1
Absent,12,2,3.100680143,1,1
Present,12,1,1.194823847,1,1
Present,16,1,1.441855723,1,1
Present,12,1,0.853582726,1,1
Present,16,1,1.265365133,1,1
Absent,8,2,1.853612412,1,1
Absent,12,2,2.006556659,1,1
Absent,8,2,2.288930238,1,1
Absent,16,2,3.418333718,1,1
Present,8,1,0.935976532,1,1
Absent,8,2,1.183038226,1,1
Present,12,1,0.759486048,1,1
Absent,16,2,2.594823844,1,1
Absent,16,2,2.26539031,1,1
Present,16,1,1.300670013,1,1
Present,8,1,1.171240291,1,1
Absent,8,2,1.771216901,1,1
Absent,12,2,2.677151468,1,1
Present,16,1,1.24184225,1,1
Present,8,1,1.23010753,2,1
Present,12,1,2.935981058,2,1
Present,16,1,2.865374338,2,1
Absent,8,2,2.0771767,2,1
Absent,16,2,3.03008038,2,1
Present,12,1,1.10065239,2,1
Present,8,1,0.771231963,2,1
Present,16,1,0.665336801,2,1
Absent,8,2,1.700682399,2,1
Present,16,1,0.747713122,2,1
Absent,16,2,2.418331952,2,1
Present,8,1,1.324211137,2,1
Absent,8,2,1.935961696,2,1
Present,8,1,0.841920865,2,1
Absent,12,2,2.04184951,2,1
Absent,12,2,3.500735291,2,1
Absent,16,2,2.277156781,2,1
Present,16,1,1.406575112,2,1
Absent,12,2,1.85361679,2,1
Absent,16,2,2.088904668,2,1
Absent,8,2,2.241860251,2,1
Absent,8,2,2.053616101,2,1
Present,16,1,0.912422334,2,1
Present,8,1,1.006540151,2,1
Present,12,1,0.853596701,2,1
Present,12,1,0.865362341,2,1
Absent,12,1,1.383020443,2,0
Absent,12,-1,4.994196924,2,0
Absent,16,1,2.912449934,2,0
Present,12,2,0.65363637,2,0
Present,8,1,0.971251719,2,1
Absent,16,2,1.924194067,2,1
Present,16,1,2.700669552,2,1
Present,16,1,1.100680028,2,1
Absent,12,2,1.900680106,2,1
Absent,16,2,2.288976695,2,1
Present,8,1,0.85361089,2,1
Absent,12,2,1.806577937,2,1
Present,16,1,1.724188005,2,1
Absent,8,2,1.583016162,2,1
Absent,12,2,2.735982066,2,1
Absent,16,2,3.735998361,2,1
Absent,8,1,1.265392613,2,0
Present,12,1,0.818300667,2,1
Present,8,1,0.700612321,2,1
Present,8,1,0.888886611,2,1
Absent,8,2,2.630102575,2,1
Present,12,1,1.347742913,2,1
